P4	6083754.66	492730.72
P1	6083315.06	493588.18
A2	6083099.23	493307.44
A1	6083082.93	493407.93
P1	6083148.49	493437.04
P1	6083156.42	493377.86
P1	6083179.32	493500.54
P4	6083364.69	493513.46
A4	6080694.17	491507.78
P1	6082145.42	495134.13
P1	6082043.97	495189.93
P4	6083680.27	492716.72
A4	6084082.60	492556.73
A4	6084070.21	492665.66
P1	6083283.67	493338.59
P1	6084017.24	492911.10
P3	6082080.23	494555.40
P1	6082081.80	494788.10
P3	6084890.49	494801.85
P2	6084881.97	492998.72
P1	6084721.26	494641.35
P3	6084365.46	494360.77
P2	6086378.03	497304.40
P3	6086607.56	497262.31
A3	6086569.55	497135.10
P5	6086543.02	497097.32
P5	6086513.30	497056.88
P1	6086746.76	497174.90
P1	6086467.90	496973.94
P1	6086419.67	496928.75
P1	6086257.41	498566.26
P1	6086217.45	498780.07
P3	6086353.03	498924.49
P1	6086168.78	498644.96
P4	6087596.03	497854.79
A1	6086357.71	496237.53
P1	6087120.92	497974.79
P1	6087146.44	497949.78
P1	6087195.23	497763.26
P1	6086589.62	498376.88
P1	6086634.06	498475.03
P1	6086651.95	498408.52
P3	6086729.05	498323.88
P1	6086783.73	498287.80
P1	6086888.62	498251.27
P1	6087425.56	498182.56
P1	6087407.85	497873.06
P3	6087515.45	497736.74
A1	6086292.13	496317.23
P3	6086344.92	496434.93
P1	6086805.74	497059.23
P1	6086336.03	496635.95
A4	6086982.05	497393.80
A1	6087692.33	498115.60
P1	6087069.97	497534.71
A1	6087751.64	498071.93
P1	6087259.86	497650.17
P1	6087524.34	498050.16
P2	6087680.40	498249.88
P1	6087739.95	498290.88
P1	6087904.91	498541.08
P1	6087817.24	498579.30
P1	6087943.47	498729.00
P1	6087985.16	498782.57
P1	6088056.69 	 498677.04
P1	6088153.32	498803.21
P1	6088056.44	498866.93
A3	6088043.02	498930.70
P1	6088217.86	498930.75
P1	6088248.93	499082.70
P1	6088170.90	499090.17
P1	6088142.88	499185.30
P1	6088096.86	499204.30
P2	6088043.47	499230.28
P1	6088172.15	499203.92
P1	6088265.49	499286.76
P1	6088178.74	499307.69
P2	6088208.88	499453.92
P1	6088121.83	499523.82
P1	6087977.86	499631.75
P2	6088125.94	499754.39
P1	6087978.38	499887.66
P1	6087977.65	499828.52
P5	6087212.01	497515.63
P3	6086251.56	496483.01
P5	6087327.35	497533.35
P1	6087339.36	497749.51
P2	6086959.78	498603.06
P3	6087709.39	498664.67
P1	6087887.12	498519.59
P3	6086927.14	498884.54
P1	6086835.96	498906.95
P3	6086884.06	498759.48
P1	6087177.63	498806.54
P1	6087624.25	498467.84
P1	6087561.18	498387.28
P1	6087724.39	498350.33
P3	6086608.87	496482.74
P1	6086643.83	496503.46
P1	6086626.73	496719.05
P3	6086792.03	496686.14
P1	6086816.37	496857.39
P1	6086892.77	496814.32
P1	6087192.06	497196.19
P1	6087176.94	497351.83
P1	6087386.20	497443.02
P1	6087465.71	497533.85
P1	6086491.71	496390.35
P2	6086224.92	496769.03
P1	6086308.39	497005.00
P1	6086337.45	497066.86
P1	6086311.79	497470.61
A4	6086404.24	497464.15
A1	6086337.45	497606.15
P1	6086234.27	497703.21
P1	6086226.08	497757.90
P3	6086452.92	498009.19
P3	6086395.59	498035.71
P1	6086222.61	497830.75
P1	6086223.65	497906.88
P1	6086274.86	497972.65
P1	6086214.96	498512.38
P1	6086489.97	498643.71
P1	6086301.50	498080.29
P1	6086500.98	498490.11
P3	6086497.66	498423.89
P1	6086661.43	498658.57
P1	6086713.38	498745.00
P1	6086542.53	498912.26
P1	6086419.07	498784.01
P1	6086424.17	498562.41
P1	6086370.87	498686.50
P5	6086537.33	497308.34
P1	6086565.45	497488.18
P3	6086472.97	497453.36
P3	6086601.53	497406.60
P1	6086490.22	497508.11
P2	6086611.30	497675.55
P3	6087644.96	498731.89
P3	6086661.63	497870.40
P2	6086850.64	497765.70
P1	6087020.40	497687.08
P1	6087017.15	498272.89
P1	6087070.60	498524.92
P3	6087167.50	498596.87
P3	6087180.56	498412.63
P2	6087290.53	498359.62
P1	6087309.26	498412.89
P1	6087217.61	498660.93
P1	6087391.75	498517.19
A2	6087304.36	498555.80
P1	6087449.18	498537.32
P1	6087812.73	498697.97
P1	6087553.19	499333.89
P1	6087853.24	498733.55
P1	6087717.12	498866.73
P1	6087893.05	498773.45
A4	6087929.24	498864.86
P1	6087821.04	499248.66
P1	6087565.02	499233.89
P1	6087776.86	499430.41
P1	6087782.15	499575.15
P1	6087641.70	499402.41
P1	6087767.84	499710.32
P2	6086866.63	497333.02
P1	6086562.49	497428.79
P1	6087498.94	499205.75
P1	6087880.10	499533.25
P3	6087803.17	496453.39
P1	6087843.83	496520.86
P2	6088598.04	496133.27
P3	6088619.14	495915.45
P3	6088626.26	495663.84
P3	6088639.60	495468.79
P2	6088423.01	495342.19
P1	6088000.72	497802.20
P1	6087988.31	497735.54
P3	6087955.47	497938.89
P3	6088013.87	497608.34
P1	6088019.66	497778.11
P3	6088024.06	497470.25
P3	6088029.02	497608.20
P1	6087531.32	495291.22
P1	6088275.98	496451.13
P3	6088235.74	496579.44
A4	6087636.85	495833.83
P5	6087497.31	495702.51
P2	6087706.71	495783.57
P1	6087621.57	497044.42
P1	6087768.30	497199.25
P1	6087701.56	497199.40
P1	6087781.56	497127.28
P1	6087672.02	497091.96
A3	6087911.87	497303.57
P1	6087841.20	497184.03
P1	6087799.91	496943.94
P1	6087802.62	496636.63
P1	6087944.01	496735.17
P2	6088040.13	496772.00
P1	6087917.26	496672.79
P1	6088139.06	496768.96
P1	6088005.60	496728.02
P3	6088257.49	496750.18
P3	6088252.49	496733.96
P1	6087551.11	497305.32
P1	6087680.61	496258.62
P2	6087917.02	496360.45
P3	6087966.26	496268.17
P3	6088002.86	496241.79
P2	6088174.47	496440.31
P2	6088293.82	496271.50
P2	6087773.77	497730.35
P1	6087758.52	497755.91
P3	6087869.44	497828.03
P2	6087698.64	495397.20
P3	6087639.63	495505.75
P3	6087920.58	495286.91
P2	6087935.35	495544.79
P3	6088249.06	497925.71
P1	6088403.49	495909.08
P1	6088398.76	495777.37
P3	6088263.83	497745.76
P1	6088285.15	495606.68
P1	6088295.78	497625.47
P1	 6088251.61	497480.32 
P3	6088159.54	495415.96
P1	6088285.77	497343.38
P2	6088172.95	497297.16
P1	6088316.59	496989.68
P3	6088361.53	496196.86
P3	6088362.24	496004.37
P1	6088288.10	495859.42
P1	6088163.62	495598.43
P3	6087715.77	495958.76
P2	6087907.16	495890.79
P2	6087987.18	495932.85
P1	6088138.00	495818.01
A1	6088131.14	495854.66
A1	6088143.44	495852.08
P5	6087777.54	495894.39
P1	6088033.49	496934.58
P3	6087909.35	496996.89
P1	6088301.34	497170.83
P1	6087583.83	495981.70
P3	6087609.72	495359.06
P3	6087590.52	495069.93
P1	6085724.18	497057.57
P1	6086120.40	497173.94
P1	6084883.30	498003.13
P1	6084625.44	498056.21
P1	6085790.29	496660.24
P1	6084517.90	497900.89
A1	6084553.28	498097.58
A1	6084568.00	498186.78
P3	6085532.06	498472.81
P3	6085639.81	498596.95
P2	6086150.61	498427.53
