geometry_y,normalised,color,pop_normalised,eco_normalised
"POLYGON ((23.78934146399787 54.934949759595, 23.789317981211525 54.93944208780423, 23.797120963410922 54.93945535878759, 23.797143576485446 54.934963028378846, 23.78934146399787 54.934949759595))",0.4514228128264097,#8b7300,0.46487645930433175,0.43796916634848776
"POLYGON ((23.883201386720494 54.85421308237045, 23.88318840566545 54.85870549170687, 23.890975829036673 54.8587127316062, 23.890987944694178 54.854220321071054, 23.883201386720494 54.85421308237045))",0.6915070867924784,#4eb000,0.8289533127148541,0.5540608608701028
"POLYGON ((23.93766578638817 54.88120771544305, 23.937658851600595 54.885700111366056, 23.945451490938105 54.885703859871086, 23.945457558878818 54.88121146332723, 23.93766578638817 54.88120771544305))",0.40219229491240827,#986600,0.3664154234763288,0.43796916634848776
"POLYGON ((24.038993599013793 54.91715654662812, 24.038997942900092 54.92164891742112, 24.046797528824268 54.921646164870644, 24.046792316161717 54.91715379453375, 24.038993599013793 54.91715654662812))",0.5262982597921166,#788600,0.38244396419251536,0.6701525553917178
"POLYGON ((23.898560216086185 54.939582309915835, 23.898548906305017 54.944074658022515, 23.906352824494544 54.9440809189966, 23.906363264297124 54.93958856985219, 23.898560216086185 54.939582309915835))",1.041843964194043,#00ff00,1.142654752445933,0.9410331759421529
"POLYGON ((23.83620899135222 54.92154482120404, 23.836190742092544 54.92603717140217, 23.8439911499365 54.92604743256381, 23.84400853019629 54.921555080665314, 23.83620899135222 54.92154482120404))",0.6696394549901727,#54aa00,0.7465208176030376,0.5927580923773078
"POLYGON ((23.976606444269454 54.912668174876494, 23.976603838660985 54.91716054967511, 23.984402558705085 54.91716180062744, 23.984404295777548 54.91266942562155, 23.976606444269454 54.912668174876494))",2.883520961518929,#00ff00,4.09076134845881,1.6762805745790479
"POLYGON ((23.883019323631903 54.91710650860177, 23.883006292018653 54.92159887110202, 23.890805856213476 54.921606127811295, 23.89081801905869 54.9171137641086, 23.883019323631903 54.91710650860177))",0.8973584866423724,#1ae400,0.969775491864207,0.8249414814205378
"POLYGON ((23.84411271041617 54.89460089900957, 23.844095359101225 54.89909327098465, 23.851890561385073 54.899103021907, 23.851907045145516 54.89461064831663, 23.84411271041617 54.89460089900957))",0.3925752931650619,#9a6400,0.38587865148884104,0.39927193484128276
"POLYGON ((23.92203888094724 54.90366065924636, 23.922030200423706 54.908153036959284, 23.92982717350816 54.908157788998544, 23.92983498598194 54.903665410498334, 23.92203888094724 54.90366065924636))",1.97538878159386,#00ff00,2.0036163680582373,1.947161195129483
"POLYGON ((23.85954502701909 54.939543498349906, 23.85952936736464 54.94403584002258, 23.867333267412114 54.94404460537148, 23.867348057094837 54.939552262245975, 23.85954502701909 54.939543498349906))",0.5924736030817546,#679700,0.6308863452934064,0.5540608608701028
"POLYGON ((23.968825949738058 54.89020450115052, 23.96882248041533 54.894696892373204, 23.976616859468393 54.894698642256074, 23.97661946146076 54.89020625074353, 23.968825949738058 54.89020450115052))",0.38238584353499455,#9d6100,0.40419698373591134,0.36057470333407776
"POLYGON ((23.859560682321117 54.93505115333309, 23.85954502701909 54.939543498349906, 23.867348057094837 54.939552262245975, 23.867362842666935 54.93505991577663, 23.859560682321117 54.93505115333309))",0.3904001138930878,#9b6300,0.4202255244520979,0.36057470333407776
"POLYGON ((23.78936494025814 54.930457428037684, 23.78934146399787 54.934949759595, 23.797143576485446 54.934963028378846, 23.79716618327559 54.930470694622514, 23.78936494025814 54.930457428037684))",0.3892552181276459,#9b6300,0.41793573292121405,0.36057470333407776
"POLYGON ((24.000000000000004 54.86325407869357, 24.000000000000004 54.86774649064135, 24.00778918012315 54.86774624090636, 24.00778831423568 54.86325382899994, 24.000000000000004 54.86325407869357))",0.3828436791588058,#9d6100,0.3664154234763288,0.39927193484128276
"POLYGON ((23.914185447076942 54.93060961876986, 23.91417588257271 54.93510197555374, 23.921978066606172 54.93510723303149, 23.92198676161322 54.930614875376286, 23.914185447076942 54.93060961876986))",0.4653901731177043,#887600,0.37671948536530586,0.5540608608701028
"POLYGON ((23.81276868791491 54.930495725936225, 23.81274782007206 54.93498806384165, 23.820549950687674 54.93499983051891, 23.820569949053542 54.93050749066342, 23.81276868791491 54.930495725936225))",0.6418187332546657,#5ba300,0.7682738371464336,0.5153636293628978
"POLYGON ((23.94546362513521 54.87671906343928, 23.945457558878818 54.88121146332723, 23.95324933305381 54.881214711494046, 23.953254532703326 54.87672231106813, 23.94546362513521 54.87671906343928))",0.7879069421955893,#36c800,0.9056613289994608,0.6701525553917178
"POLYGON ((23.867569409929864 54.87216671399649, 23.867554681743627 54.87665910729955, 23.87534556165125 54.87666735125916, 23.875359423481587 54.87217495659085, 23.867569409929864 54.87216671399649))",0.7387910365404975,#42bc00,0.8461267491964823,0.6314553238845128
"POLYGON ((23.906571452462423 54.849740884785284, 23.906561070484578 54.85423330081598, 23.914347637821095 54.854239041859415, 23.914357154637937 54.84974662487822, 23.906571452462423 54.849740884785284))",0.46516156201171244,#887600,0.49235395767493717,0.43796916634848776
"POLYGON ((23.914271408133658 54.89017825727184, 23.914261867513662 54.89467064414662, 23.92205623476305 54.894675893789454, 23.922064908057145 54.89018350604509, 23.914271408133658 54.89017825727184))",1.684125581312325,#00ff00,0.8793287263942973,2.488922436230353
"POLYGON ((23.875400985896658 54.858697752506764, 23.875387135602836 54.86319015721484, 23.883175421007966 54.86319789769661, 23.88318840566545 54.85870549170687, 23.875400985896658 54.858697752506764))",0.6903621910270364,#4eb000,0.8266635211839701,0.5540608608701028
